row_index,entity,state,prom,sent,outlet,topic_prom,topic_sent,narr_prom,narr_sent,peers_ge2,expected_modifier
1,Bet365,Under Fire,2.0,-2.0,,5.0,-2.0,5.0,-2.25,,MISSING INPUT
1,BetMGM,Under Fire,,-2.0,,5.0,-2.0,5.0,-2.25,,MISSING INPUT
2,BetMGM,Under Fire,,-2.0,,5.0,-1.0,5.0,-1.0,,MISSING INPUT
1,DraftKings,Under Fire,2.0,-2.0,,5.0,-2.0,5.0,-2.25,,MISSING INPUT
2,DraftKings,Under Fire,2.0,-2.0,,5.0,-1.0,5.0,-1.0,,MISSING INPUT
152,DraftKings,Under Fire,2.0,-2.0,,5.0,-3.0,5.0,-3.75,,MISSING INPUT
153,DraftKings,Under Fire,2.0,-2.0,,5.0,-3.0,5.0,-3.0,,MISSING INPUT
154,DraftKings,Under Fire,2.0,-2.0,,5.0,-2.0,5.0,-3.0,,MISSING INPUT
155,DraftKings,Under Fire,2.0,-2.0,,5.0,-1.25,4.0,-2.0,,MISSING INPUT
156,DraftKings,Under Fire,2.0,-2.0,,5.0,-1.0,4.0,-2.0,,MISSING INPUT
5,FanDuel,Under Fire,2.0,-2.0,,5.0,-2.25,5.0,-2.75,,MISSING INPUT
24,FanDuel,Under Fire,2.0,-2.0,,5.0,-1.75,5.0,-2.75,,MISSING INPUT
152,FanDuel,Under Fire,2.0,-2.0,,5.0,-3.0,5.0,-3.75,,MISSING INPUT
153,FanDuel,Under Fire,2.0,-2.0,,5.0,-3.0,5.0,-3.0,,MISSING INPUT
309,FanDuel,Under Fire,2.0,-2.0,,4.0,-3.0,4.0,-3.0,,MISSING INPUT
311,FanDuel,Under Fire,2.0,-2.0,,5.0,-2.5,5.0,-2.75,,MISSING INPUT
